tweet_no,word,tag,ner
36, ,_SP,O
36,Train,NNP,O
36,Drive,NNP,B-TRACK
36,By,IN,L-TRACK
36,BB,NNP,O
36,RADIO,NNP,O
36, ,_SP,O
36,In,IN,O
36,auf,NNP,O
36,1075,CD,O
37,Gusttavo,NNP,O
37,lima,NNP,O
37, ,_SP,O
37,balada,NNP,U-TRACK
38, ,_SP,O
38,Patrick,NNP,O
38,Swayze,NNP,O
38,She,PRP,B-TRACK
38,'s,VBZ,I-TRACK
38,Like,IN,I-TRACK
38,The,DT,I-TRACK
38,Wind,NNP,L-TRACK
38,BB,NNP,O
38,RADIO,NNP,O
38, ,_SP,O
38,In,IN,O
38,auf,NNP,O
38,1075,CD,O
39, ,_SP,O
39,Medina,NNP,O
39,Forever,NNP,U-TRACK
39,BB,NNP,O
39,RADIO,NNP,O
39, ,_SP,O
39,In,IN,O
39,auf,NNP,O
39,1021,CD,O
40, ,_SP,O
40,David,NNP,O
40,Guetta,NNP,O
40,feat,NN,O
40,Nicki,NNP,O
40,Minaj,NNP,O
40,Turn,VB,B-TRACK
40,Me,PRP,I-TRACK
40,On,IN,L-TRACK
41,Ryksopp,NNP,O
41, ,_SP,O
41,It,PRP,B-TRACK
41,'s,VBZ,I-TRACK
41,What,WP,I-TRACK
41,I,PRP,I-TRACK
41,Want,VBP,L-TRACK
42,Driving,VBG,O
42,to,IN,O
42,game,NN,O
42,windows,NNS,O
42,down,RP,O
42,blaring,VBG,O
42,Cher,NNP,O
42,pumped,VBD,O
42,Believe,NNP,U-TRACK
42,by,IN,O
42,Cher,NNP,O
43, ,_SP,O
43,Adele,NNP,O
43,Rolling,NNP,B-TRACK
43,In,IN,I-TRACK
43,The,DT,I-TRACK
43,Deep,NNP,L-TRACK
43,Radio,NNP,O
43,TEDDY,NNP,O
44,Coldplay,VB,O
44, ,_SP,O
44,Charlie,NNP,B-TRACK
44,Brown,NNP,L-TRACK
45,they,PRP,O
45,call,VBP,O
45,it,PRP,O
45,arrogance,NN,O
45,I,PRP,O
45,call,VBP,O
45,it,PRP,O
45,confidence,NN,O
45,Ego,NNP,U-TRACK
45,Beyonce,NNP,O
45,','',O
46, ,_SP,O
46,Lady,NNP,O
46,Gaga,NNP,O
46,The,DT,B-TRACK
46,Edge,NNP,I-TRACK
46,Of,IN,I-TRACK
46,Glory,NNP,L-TRACK
46,plays,VBZ,O
46,the,DT,O
47,Goo,NNP,O
47,Goo,NNP,O
47,Dolls,NNP,O
47,Give,VBP,B-TRACK
47,a,DT,I-TRACK
47,Little,JJ,I-TRACK
47,Bit,NN,L-TRACK
48, ,_SP,O
48,ROSENSTOLZ,NNP,O
48,Lied,NNP,B-TRACK
48,von,NNP,I-TRACK
48,den,NNP,I-TRACK
48,vergessenen,NN,L-TRACK
48,Radio,NNP,O
48,TEDDY,NNP,O
48, ,_SP,O
48,In,IN,O
48,auf,NNP,O
48,917,CD,O
49, ,_SP,O
49,Lady,NNP,O
49,Gaga,NNP,O
49,Alejandro,NNP,U-TRACK
49,plays,VBZ,O
49,the,DT,O
50, ,_SP,O
50,Ivy,NNP,O
50,Quainoo,NNP,O
50,Do,VBP,B-TRACK
50,You,PRP,I-TRACK
50,Like,VB,I-TRACK
50,What,WP,I-TRACK
50,You,PRP,I-TRACK
50,See,VBP,L-TRACK
51,Bottlez,NNP,U-TRACK
51, ,_SP,O
51,T,NNP,O
51,Pain,NNP,O
51,ft,NNP,O
51,Detail,NNP,O
52,Get,VB,B-TRACK
52,Out,RP,L-TRACK
52,Safe,NNP,O
52,Camp,NNP,O
52,Sessions,NNPS,O
52,Acoustic,NNP,O
52,Version,NNP,O
52,Circa,NNP,O
52,Survive,NNP,O
53,Tuna,NNP,B-TRACK
53,Roll,NNP,L-TRACK
53, ,_SP,O
53,Kid,NNP,O
53,Ink,NNP,O
54,Tyga,NNP,O
54, ,_SP,O
54,Black,NNP,B-TRACK
54,Crowns,NNP,L-TRACK
55,Fix,VB,B-TRACK
55,You,PRP,L-TRACK
55,by,IN,O
56,Blue,NNP,B-TRACK
56,Jeans,NNPS,L-TRACK
56, ,_SP,O
56,Lana,NNP,O
56,Del,NNP,O
56,Rey,NNP,O
57, ,_SP,O
57,Xavier,NNP,O
57,Naidoo,NNP,O
57,Was,VBD,B-TRACK
57,wir,NN,I-TRACK
57,alleine,JJ,I-TRACK
57,nicht,NNS,I-TRACK
57,schaffen,VBP,L-TRACK
57,Radio,NNP,O
57,TEDDY,NNP,O
57, ,_SP,O
57,In,IN,O
57,auf,NNP,O
57,917,CD,O
58,Lies,VBZ,B-TRACK
58,Greed,NNP,I-TRACK
58,Misery,NNP,L-TRACK
58, ,_SP,O
58,Linkin,NNP,O
58,Park,NNP,O
59,Rick,NNP,O
59,Ross,NNP,O
59,Feat,NNP,O
59,John,NNP,O
59,Legend,NNP,O
59, ,_SP,O
59,Rich,NNP,B-TRACK
59,Forever,RB,L-TRACK
60, ,_SP,O
60,Unheilig,NNP,O
60,So,RB,B-TRACK
60,wie,NN,I-TRACK
60,Du,NNP,I-TRACK
60,warst,VBD,L-TRACK
60,BB,NNP,O
60,RADIO,NNP,O
60, ,_SP,O
60,In,IN,O
60,auf,NNP,O
60,1021,CD,O
61,Without,IN,B-TRACK
61,You,PRP,L-TRACK
61,Monica,NNP,O
62, ,_SP,O
62,DIE,NN,B-TRACK
62,IN,IN,I-TRACK
62,YOUR,PRP$,I-TRACK
62,ARMS,NNP,L-TRACK
62, ,_SP,O
62,JUSTIN,NNP,O
62,BIEBER,NNP,O
63,Here,RB,B-TRACK
63,'s,VBZ,I-TRACK
63,To,IN,I-TRACK
63,The,DT,I-TRACK
63,Past,NN,L-TRACK
63,A,DT,O
63,Day,NN,O
63,To,TO,O
63,Remember,VB,O
64,Naif,NNP,O
64, ,_SP,O
64,Posesif,NNS,U-TRACK
65,Harvey,NNP,O
65,Mandel,NNP,O
65,Christo,NNP,B-TRACK
65,Redentor,NNP,L-TRACK
66, ,_SP,O
66,Rihanna,NNP,O
66,Where,WRB,B-TRACK
66,Have,VBP,I-TRACK
66,You,PRP,I-TRACK
66,Been,VBN,L-TRACK
66,BB,NNP,O
66,RADIO,NNP,O
66, ,_SP,O
66,In,IN,O
66,auf,NNP,O
66,1075,CD,O
67,Dot,NNP,O
67,Rotten,NNP,O
67,Overload,NNP,U-TRACK
68, ,_SP,O
68,Bag,NNP,O
68,Raiders,NNPS,O
68,Way,NNP,B-TRACK
68,Back,RB,I-TRACK
68,Home,NNP,L-TRACK
68,Radio,NNP,O
68,TEDDY,NNP,O
68, ,_SP,O
68,In,IN,O
68,auf,NNP,O
68,1029,CD,O
69,Diva,NNP,U-TRACK
69, ,_SP,O
69,beyonce,NN,O
70,Major,JJ,O
70,Lazer,NNP,O
70, ,_SP,O
70,Get,VB,B-TRACK
70,Free,NNP,L-TRACK
70,Bonde,NNP,O
70,do,VBP,O
70,Rol,NNP,O
70,Remix,NNP,O
71,Ian,NNP,O
71,Brown,NNP,O
71,My,PRP$,B-TRACK
71,Star,NNP,L-TRACK
72,Eva,NNP,O
72,Cassidy,NNP,O
72,Songbird,NNP,U-TRACK
73,You,PRP,O
73,will,MD,O
73,find,VB,O
73,that,IN,O
73,you,PRP,O
73,can,MD,O
73,grow,VB,O
73,by,IN,O
73,letting,VBG,O
73,go,VB,O
73,Ride,NNP,B-TRACK
73,the,DT,I-TRACK
73,Wind,NN,L-TRACK
73, ,_SP,O
73,The,DT,O
73,Youngbloods,NNS,O
74,Big,JJ,O
74,Time,NNP,O
74,Rush,NNP,O
74, ,_SP,O
74,Worldwide,NNP,U-TRACK
74,No,DT,O
74,tumblr,NN,O
74,do,VBP,O
75,Ode,NNP,B-TRACK
75,To,IN,I-TRACK
75,My,PRP$,I-TRACK
75,Family,NN,L-TRACK
75, ,_SP,O
75,The,DT,O
75,Cranberries,NNPS,O
75,Classic,NNP,O
76, ,_SP,O
76,Chiddy,NNP,O
76,Bang,NNP,O
76, ,_SP,O
76,Opposite,NNP,B-TRACK
76,Of,IN,I-TRACK
76,Adults,NNP,L-TRACK
76,j'aime,NN,O
76,Je,NNP,O
76,kiff,NNP,O
76,cette,NNP,O
76,chanson,NNP,O
77,Walk,VB,U-TRACK
77, ,_SP,O
77,Foo,NNP,O
77,Fighters,NNPS,O
78,Bad,NNP,B-TRACK
78,Habits,NNP,L-TRACK
78, ,_SP,O
78,Maxwell,NNP,O
79,U2,VB,O
79,I,PRP,B-TRACK
79,Fall,VBP,I-TRACK
79,Down,RB,L-TRACK
80, ,_SP,O
80,Taio,NNP,O
80,Cruz,NNP,O
80,World,NNP,B-TRACK
80,In,IN,I-TRACK
80,Our,PRP$,I-TRACK
80,Hands,NNP,L-TRACK
80,BB,NNP,O
80,RADIO,NNP,O
80, ,_SP,O
80,In,IN,O
80,auf,NNP,O
80,1078,CD,O
81, ,_SP,O
81,Rihanna,NNP,O
81,Pon,NNP,B-TRACK
81,De,NNP,I-TRACK
81,Replay,NNP,L-TRACK
81,BB,NNP,O
81,RADIO,NNP,O
81, ,_SP,O
81,xoxoxoxoxoxoxoxoxoxoxox,NNP,O
82, ,_SP,O
82,Reinhard,NNP,O
82,Lakomy,NNP,O
82,Mary,NNP,B-TRACK
82,Lu,NNP,L-TRACK
82,Radio,NNP,O
82,TEDDY,NNP,O
82, ,_SP,O
82,In,IN,O
82,auf,NNP,O
82,1029,CD,O
83, ,_SP,O
83,Maria,NNP,O
83,Mena,NNP,O
83,Just,RB,B-TRACK
83,Hold,VB,I-TRACK
83,Me,PRP,L-TRACK
84,T,NN,O
84,Rex,NNP,O
84,Hot,NNP,B-TRACK
84,Love,NNP,L-TRACK
85,Lana,NNP,O
85,Del,NNP,O
85,Rey,NNP,O
85,Born,VBN,B-TRACK
85,To,TO,I-TRACK
85,Die,VB,L-TRACK
86, ,_SP,O
86,CASSANDRA,NNP,O
86,STEEN,NNP,O
86,FEAT,NN,O
86,ADEL,NNP,O
86,TAWIL,NNP,O
86,Stadt,NNP,U-TRACK
86,Radio,NNP,O
86,TEDDY,NNP,O
86, ,_SP,O
86,Makes,VBZ,O
86,fun,NN,O
86, ,_SP,O
86,makes,VBZ,O
86,clever,JJ,O
87,Picture,NN,B-TRACK
87,Of,IN,I-TRACK
87,Me,PRP,L-TRACK
87,by,IN,O
87,Lee,NNP,O
87,Brice,NNP,O
87,on,IN,O
88,Ne,NNP,O
88,Yo,NNP,O
88, ,_SP,O
88,Mad,NNP,U-TRACK
89,Kirk,NNP,O
89,Franklin,NNP,O
89, ,_SP,O
89,Something,NN,B-TRACK
89,about,IN,I-TRACK
89,the,DT,I-TRACK
89,name,NN,I-TRACK
89,Jesus,NNP,L-TRACK
90, ,_SP,O
90,INNA,NNP,O
90,Sun,NNP,B-TRACK
90,is,VBZ,I-TRACK
90,up,RB,L-TRACK
90,Radio,NNP,O
90,TEDDY,NNP,O
90, ,_SP,O
90,Besuche,NNP,O
90,uns,VBZ,O
90,auf,NNP,O
91,Trey,NNP,O
91,Songz,NNP,O
91, ,_SP,O
91,Heart,NNP,B-TRACK
91,Attack,NNP,L-TRACK
92, ,_SP,O
92,Muse,NNP,O
92,Madness,NNP,U-TRACK
92,spielt,VBD,O
92,die,VB,O
93, ,_SP,O
93,Michael,NNP,O
93,Jackson,NNP,O
93,Will,MD,B-TRACK
93,You,PRP,I-TRACK
93,Be,VB,I-TRACK
93,There,RB,L-TRACK
93,BB,NN,O
93,RADIO,NNP,O
93, ,_SP,O
93,In,IN,O
93,auf,NNP,O
93,1075,CD,O
94,Concord,NNP,O
94,Dawn,NNP,O
94,Raining,NNP,B-TRACK
94,Blood,NN,L-TRACK
95,The,DT,O
95,Weeknd,NNP,O
95, ,_SP,O
95,The,DT,B-TRACK
95,Party,NNP,I-TRACK
95,&,CC,I-TRACK
95,The,NNP,I-TRACK
95,After,NNP,I-TRACK
95,Party,NNP,L-TRACK
96,BOB,NNP,O
96,MARLEY,NNP,O
96, ,_SP,O
96,JAMMING,NNP,U-TRACK
97, ,_SP,O
97,Elle,NNP,O
97,Varner,NNP,O
97, ,_SP,O
97,Refill,NNP,U-TRACK
97,i,PRP,O
97,this,DT,O
97,songgg,NN,O
98,never,RB,B-TRACK
98,too,RB,I-TRACK
98,late,JJ,L-TRACK
98,three,CD,O
98,days,NNS,O
98,grace,NN,O
99,yap,NNP,B-TRACK
99,yap,NNP,L-TRACK
99,richie,NNP,O
99,spice,NNP,O
99,u,NNP,O
99,just,RB,O
99,say,VBP,O
99,things,NNS,O
99,u,PRP,O
99,don,NNP,O
99,know,VBP,O
100,Blind,JJ,O
100,Melon,NNP,O
100,No,DT,B-TRACK
100,Rain,NN,L-TRACK
101,Avenged,VBN,O
101,Sevenfold,NNP,O
101, ,_SP,O
101,Almost,RB,B-TRACK
101,Easy,JJ,L-TRACK
102, ,_SP,O
102,Sportfreunde,NNP,O
102,Stiller,NNP,O
102,Ein,NNP,B-TRACK
102,Kompliment,NNP,L-TRACK
102,Unplugged,NNP,O
102,Radio,NNP,O
102,TEDDY,NNP,O
103,Friendly,JJ,O
103,Fires,NNS,O
103,Hawaiian,NNP,B-TRACK
103,Air,NNP,L-TRACK
104,Gary,NNP,O
104,Numan,NNP,O
104,Cars,NNS,U-TRACK
105,Patrick,NNP,O
105,Wolf,NNP,O
105,Together,RB,U-TRACK
106, ,_SP,O
106,Blue,JJ,O
106, ,_SP,O
106,All,DT,B-TRACK
106,Rise,NN,L-TRACK
107, ,_SP,O
107,Maria,NNP,O
107,Mena,NNP,O
107,Just,RB,B-TRACK
107,Hold,VB,I-TRACK
107,Me,PRP,L-TRACK
107,BB,NNP,O
107,RADIO,NNP,O
107, ,_SP,O
107,In,IN,O
107,auf,NNP,O
107,1021,CD,O
108,Chris,NNP,O
108,Brown,NNP,O
108, ,_SP,O
108,No,DT,B-TRACK
108,Bullshit,NNP,L-TRACK
108,Oui,NNP,O
108,Ce,NNP,O
108,Soir,NNP,O
108,J'ai,NNP,O
108,Une,NNP,O
108,Envie,NNP,O
108,De,NNP,O
108,Sexe,NNP,O
109,Number,NN,B-TRACK
109,One,CD,L-TRACK
109,John,NNP,O
109,Legend,NNP,O
110,jadul,NNP,O
110,bgt,VBD,O
110,_,NNP,O
110, ,_SP,O
110,Mocca,NNP,O
110, ,_SP,O
110,I,PRP,B-TRACK
110,Remember,VBP,L-TRACK
111,Scissor,NN,O
111,Sisters,NNPS,O
111,I,PRP,B-TRACK
111,Do,VBP,I-TRACK
111,n't,RB,I-TRACK
111,Feel,VB,I-TRACK
111,Like,IN,I-TRACK
111,Dancin,NNP,L-TRACK
111,',POS,O
112,If,IN,B-TRACK
112,I,PRP,I-TRACK
112,Ruled,VBD,I-TRACK
112,The,DT,I-TRACK
112,World,NNP,L-TRACK
112, ,_SP,O
112,Nas,NNP,O
113,Christina,NNP,O
113,Perri,NNP,O
113, ,_SP,O
113,A,DT,B-TRACK
113,Thousand,CD,I-TRACK
113,Years,NNS,L-TRACK
114,trey,NNP,O
114,songz,VBP,O
114, ,_SP,O
114,on,IN,B-TRACK
114,top,NN,L-TRACK
115,Wham,NNP,O
115,Freedom,NNP,U-TRACK
116, ,_SP,O
116,Katy,NNP,O
116,Perry,NNP,O
116,I,PRP,B-TRACK
116,Kissed,VBD,I-TRACK
116,A,DT,I-TRACK
116,Girl,NN,L-TRACK
117,Cleo,NNP,O
117,Brown,NNP,O
117,Boogie,NNP,B-TRACK
117,Woogie,NNP,L-TRACK
118,Kanye,NNP,O
118,West,NNP,O
118,Touch,NNP,B-TRACK
118,The,DT,I-TRACK
118,Sky,NN,L-TRACK
119,lotus,NNP,B-TRACK
119,flower,NNP,I-TRACK
119,bomb,NNP,L-TRACK
119,wale,NNP,O
120,Kyoto,NNP,U-TRACK
120, ,_SP,O
120,Skrillex,NNP,O
120,feat,NN,O
120,Sirah,NNP,O
121, ,_SP,O
121,EMPIRE,NNP,O
121,OF,IN,O
121,THE,DT,O
121,SUN,NNP,O
121,We,PRP,B-TRACK
121,are,VBP,I-TRACK
121,the,DT,I-TRACK
121,people,NNS,L-TRACK
121,Radio,NNP,O
121,TEDDY,NNP,O
121, ,_SP,O
121,Makes,VBZ,O
121,fun,NN,O
121, ,_SP,O
121,makes,VBZ,O
121,clever,JJ,O
122,Michel,NNP,O
122,Tel,NNP,O
122, ,_SP,O
122,Eu,NNP,B-TRACK
122,te,NNP,I-TRACK
122,amo,NNP,I-TRACK
122,e,NNP,I-TRACK
122,open,JJ,I-TRACK
122,bar,NN,L-TRACK
123,Lmfao,NNP,O
123,Haddaway,NNP,O
123, ,_SP,O
123,What,WP,B-TRACK
123,Is,VBZ,I-TRACK
123,Love,NN,L-TRACK
124,FIREWORK,NNP,U-TRACK
124,katy,NNP,O
124,perry,NNP,O
125, ,_SP,O
125,Die,VB,O
125,Toten,NNP,O
125,Hosen,NNP,O
125,Tage,NNP,B-TRACK
125,wie,NN,I-TRACK
125,diese,NN,L-TRACK
125,Radio,NNP,O
125,TEDDY,NNP,O
125, ,_SP,O
125,In,IN,O
125,auf,NNP,O
125,902,CD,O
126, ,_SP,O
126,ALOE,NNP,O
126,BLACC,NNP,O
126,I,PRP,B-TRACK
126,need,VBP,I-TRACK
126,a,DT,I-TRACK
126,dollar,NN,L-TRACK
126,Radio,NNP,O
126,TEDDY,NNP,O
126, ,_SP,O
126,In,IN,O
126,auf,NNP,O
126,902,CD,O
127,Maroon,NNP,O
127,5,CD,O
127, ,_SP,O
127,One,CD,B-TRACK
127,More,JJR,I-TRACK
127,Night,NNP,L-TRACK
128, ,_SP,O
128,The,DT,O
128,Overtones,NNP,O
128,Gambling,NNP,B-TRACK
128,Man,NNP,L-TRACK
128,Radio,NNP,O
128,TEDDY,NNP,O
128, ,_SP,O
128,In,IN,O
128,auf,NNP,O
128,1029,CD,O
129,Beyonce,NN,O
129, ,_SP,O
129,If,IN,B-TRACK
129,I,PRP,I-TRACK
129,were,VBD,I-TRACK
129,a,DT,I-TRACK
129,boy,NN,L-TRACK
130, ,_SP,O
130,Olly,NNP,O
130,Murs,NNPS,O
130,Heart,NNP,B-TRACK
130,Skips,NNPS,I-TRACK
130,A,DT,I-TRACK
130,Beat,NNP,L-TRACK
130,Radio,NNP,O
130,TEDDY,NNP,O
130, ,_SP,O
130,In,IN,O
130,auf,NNP,O
130,1029,CD,O
131, ,_SP,O
131,Jessie,NNP,O
131,J,NNP,O
131, ,_SP,O
131,Rainbow,NNP,U-TRACK
132,Pandora,NNP,O
132,knows,VBZ,O
132,how,WRB,O
132,to,TO,O
132,hit,VB,O
132,where,WRB,O
132,it,PRP,O
132,hurts,VBZ,O
132,What,WP,B-TRACK
132,hurts,VBZ,I-TRACK
132,the,DT,I-TRACK
132,most,RBS,L-TRACK
132, ,_SP,O
132,Rascal,NNP,O
132,Flatts,NNP,O
133,Jnsi,NNP,O
133, ,_SP,O
133,Hengils,NNP,O
133,on,IN,O
134,Drake,NN,O
134,Doing,VBG,B-TRACK
134,It,PRP,I-TRACK
134,Wrong,JJ,L-TRACK
135,Jump,VB,B-TRACK
135,Then,RB,I-TRACK
135,Fall,VB,L-TRACK
135,Taylor,NNP,O
135,Swift,NNP,O
136, ,_SP,O
136,Inna,NNP,O
136,Sun,NNP,B-TRACK
136,Is,VBZ,I-TRACK
136,Up,RP,L-TRACK
136,plays,VBZ,O
136,the,DT,O
137,what,WP,O
137,would,MD,O
137,you,PRP,O
137,do,VB,O
137,if,IN,O
137,you,PRP,O
137,found,VBD,O
137,out,RP,O
137,from,IN,O
137,your,PRP$,O
137,friends,NNS,O
137,if,IN,O
137,i,PRP,O
137,was,VBD,O
137,dead,JJ,O
137,Efflictim,NNP,U-TRACK
137, ,_SP,O
137,WZRD,NNS,O
138,Come,VB,B-TRACK
138,As,IN,I-TRACK
138,You,PRP,I-TRACK
138,Are,VBP,L-TRACK
138, ,_SP,O
138,Nirvana,NNP,O
139,Love,NN,B-TRACK
139,Is,VBZ,I-TRACK
139,A,DT,I-TRACK
139,Battlefield,NNP,L-TRACK
139, ,_SP,O
139,Pat,NNP,O
139,Benatar,NNP,O
139,X,NNP,O
140,Funeral,NNP,B-TRACK
140,For,IN,I-TRACK
140,My,PRP$,I-TRACK
140,Future,NNP,I-TRACK
140,Children,NNS,L-TRACK
140,by,IN,O
140,Anna,NNP,O
140,Von,NNP,O
140,Hausswolff,NNP,O
140,on,IN,O
141,climax,VB,U-TRACK
141,usher,JJ,O
141,i,PRP,O
141,m,VBP,O
141,gon,VBG,O
141,na,TO,O
141,make,VB,O
141,this,DT,O
141,into,IN,O
141,a,DT,O
141,dubstep,NN,O
141,song,NN,O
142,Seorita,NNP,O
142, ,_SP,O
142,Justin,NNP,O
142,Timberlake,NNP,O
143,Geraldine,NNP,O
143,McQueen,NNP,O
143,Once,RB,B-TRACK
143,Upon,IN,I-TRACK
143,A,DT,I-TRACK
143,Christmas,NNP,I-TRACK
143,Song,NNP,L-TRACK
144, ,_SP,O
144,Seeed,VB,O
144,feat,NN,O
144,Cee,NNP,O
144,Lo,NNP,O
144,Green,NNP,O
144,Aufstehn,NNP,U-TRACK
144,BB,NNP,O
144,RADIO,NNP,O
144, ,_SP,O
144,In,IN,O
144,auf,NNP,O
144,1037,CD,O
145,Rock,NNP,B-TRACK
145,Your,PRP$,I-TRACK
145,Body,NN,L-TRACK
145, ,_SP,O
145,Justin,NNP,O
145,Timberlake,NNP,O
