tweet_no,word,tag,ner
58,Park,NNP,L-ARTIST
59,Rick,NNP,O
59,Ross,NNP,O
59,Feat,NNP,O
59,John,NNP,B-ARTIST
59,Legend,NNP,L-ARTIST
59, ,_SP,O
59,Rich,NNP,O
59,Forever,RB,O
60, ,_SP,O
60,Unheilig,NNP,U-ARTIST
60,So,RB,O
60,wie,NN,O
60,Du,NNP,O
60,warst,VBD,O
60,BB,NNP,O
60,RADIO,NNP,O
60, ,_SP,O
60,In,IN,O
60,auf,NNP,O
60,1021,CD,O
61,Without,IN,O
61,You,PRP,O
61,Monica,NNP,U-ARTIST
62, ,_SP,O
62,DIE,NN,O
62,IN,IN,O
62,YOUR,PRP$,O
62,ARMS,NNP,O
62, ,_SP,O
62,JUSTIN,NNP,B-ARTIST
62,BIEBER,NNP,L-ARTIST
63,Here,RB,O
63,'s,VBZ,O
63,To,IN,O
63,The,DT,O
63,Past,NN,O
63,A,DT,B-ARTIST
63,Day,NN,I-ARTIST
63,To,TO,I-ARTIST
63,Remember,VB,L-ARTIST
64,Naif,NNP,U-ARTIST
64, ,_SP,O
64,Posesif,NNS,O
65,Harvey,NNP,B-ARTIST
65,Mandel,NNP,L-ARTIST
65,Christo,NNP,O
65,Redentor,NNP,O
66, ,_SP,O
66,Rihanna,NNP,U-ARTIST
66,Where,WRB,O
66,Have,VBP,O
66,You,PRP,O
66,Been,VBN,O
66,BB,NNP,O
66,RADIO,NNP,O
66, ,_SP,O
66,In,IN,O
66,auf,NNP,O
66,1075,CD,O
67,Dot,NNP,B-ARTIST
67,Rotten,NNP,L-ARTIST
67,Overload,NNP,O
68, ,_SP,O
68,Bag,NNP,O
68,Raiders,NNPS,O
68,Way,NNP,O
68,Back,RB,O
68,Home,NNP,O
68,Radio,NNP,O
68,TEDDY,NNP,O
68, ,_SP,O
68,In,IN,O
68,auf,NNP,O
68,1029,CD,O
69,Diva,NNP,O
69, ,_SP,O
69,beyonce,NN,U-ARTIST
70,Major,JJ,B-ARTIST
70,Lazer,NNP,L-ARTIST
70, ,_SP,O
70,Get,VB,O
70,Free,NNP,O
70,Bonde,NNP,O
70,do,VBP,O
70,Rol,NNP,O
70,Remix,NNP,O
71,Ian,NNP,B-ARTIST
71,Brown,NNP,L-ARTIST
71,My,PRP$,O
71,Star,NNP,O
72,Eva,NNP,B-ARTIST
72,Cassidy,NNP,L-ARTIST
72,Songbird,NNP,O
73,You,PRP,O
73,will,MD,O
73,find,VB,O
73,that,IN,O
73,you,PRP,O
73,can,MD,O
73,grow,VB,O
73,by,IN,O
73,letting,VBG,O
73,go,VB,O
73,Ride,NNP,O
73,the,DT,O
73,Wind,NN,O
73, ,_SP,O
73,The,DT,B-ARTIST
73,Youngbloods,NNS,L-ARTIST
74,Big,JJ,B-ARTIST
74,Time,NNP,I-ARTIST
74,Rush,NNP,L-ARTIST
74, ,_SP,O
74,Worldwide,NNP,O
74,No,DT,O
74,tumblr,NN,O
74,do,VBP,O
75,Ode,NNP,O
75,To,IN,O
75,My,PRP$,O
75,Family,NN,O
75, ,_SP,O
75,The,DT,B-ARTIST
75,Cranberries,NNPS,L-ARTIST
75,Classic,NNP,O
76, ,_SP,O
76,Chiddy,NNP,B-ARTIST
76,Bang,NNP,L-ARTIST
76, ,_SP,O
76,Opposite,NNP,O
76,Of,IN,O
76,Adults,NNP,O
76,j'aime,NN,O
76,Je,NNP,O
76,kiff,NNP,O
76,cette,NNP,O
76,chanson,NNP,O
77,Walk,VB,O
77, ,_SP,O
77,Foo,NNP,B-ARTIST
77,Fighters,NNPS,L-ARTIST
78,Bad,NNP,O
78,Habits,NNP,O
78, ,_SP,O
78,Maxwell,NNP,U-ARTIST
79,U2,VB,U-ARTIST
79,I,PRP,O
79,Fall,VBP,O
79,Down,RB,O
80, ,_SP,O
80,Taio,NNP,B-ARTIST
80,Cruz,NNP,L-ARTIST
80,World,NNP,O
80,In,IN,O
80,Our,PRP$,O
80,Hands,NNP,O
80,BB,NNP,O
80,RADIO,NNP,O
80, ,_SP,O
80,In,IN,O
80,auf,NNP,O
80,1078,CD,O
81, ,_SP,O
81,Rihanna,NNP,U-ARTIST
81,Pon,NNP,O
81,De,NNP,O
81,Replay,NNP,O
81,BB,NNP,O
81,RADIO,NNP,O
81, ,_SP,O
81,xoxoxoxoxoxoxoxoxoxoxox,NNP,O
82, ,_SP,O
82,Reinhard,NNP,B-ARTIST
82,Lakomy,NNP,L-ARTIST
82,Mary,NNP,O
82,Lu,NNP,O
82,Radio,NNP,O
82,TEDDY,NNP,O
82, ,_SP,O
82,In,IN,O
82,auf,NNP,O
82,1029,CD,O
83, ,_SP,O
83,Maria,NNP,B-ARTIST
83,Mena,NNP,L-ARTIST
83,Just,RB,O
83,Hold,VB,O
83,Me,PRP,O
84,T,NN,O
84,Rex,NNP,O
84,Hot,NNP,O
84,Love,NNP,O
85,Lana,NNP,O
85,Del,NNP,O
85,Rey,NNP,O
85,Born,VBN,O
85,To,TO,O
85,Die,VB,O
86, ,_SP,O
86,CASSANDRA,NNP,O
86,STEEN,NNP,O
86,FEAT,NN,O
86,ADEL,NNP,B-ARTIST
86,TAWIL,NNP,L-ARTIST
86,Stadt,NNP,O
86,Radio,NNP,O
86,TEDDY,NNP,O
86, ,_SP,O
86,Makes,VBZ,O
86,fun,NN,O
86, ,_SP,O
86,makes,VBZ,O
86,clever,JJ,O
87,Picture,NN,O
87,Of,IN,O
87,Me,PRP,O
87,by,IN,O
87,Lee,NNP,B-ARTIST
87,Brice,NNP,L-ARTIST
87,on,IN,O
88,Ne,NNP,O
88,Yo,NNP,O
88, ,_SP,O
88,Mad,NNP,O
89,Kirk,NNP,O
89,Franklin,NNP,O
89, ,_SP,O
89,Something,NN,O
89,about,IN,O
89,the,DT,O
89,name,NN,O
89,Jesus,NNP,O
90, ,_SP,O
90,INNA,NNP,U-ARTIST
90,Sun,NNP,O
90,is,VBZ,O
90,up,RB,O
90,Radio,NNP,O
90,TEDDY,NNP,O
90, ,_SP,O
90,Besuche,NNP,O
90,uns,VBZ,O
90,auf,NNP,O
91,Trey,NNP,B-ARTIST
91,Songz,NNP,L-ARTIST
91, ,_SP,O
91,Heart,NNP,O
91,Attack,NNP,O
92, ,_SP,O
92,Muse,NNP,U-ARTIST
92,Madness,NNP,O
92,spielt,VBD,O
92,die,VB,O
93, ,_SP,O
93,Michael,NNP,O
93,Jackson,NNP,O
93,Will,MD,O
93,You,PRP,O
93,Be,VB,O
93,There,RB,O
93,BB,NN,O
93,RADIO,NNP,O
93, ,_SP,O
93,In,IN,O
93,auf,NNP,O
93,1075,CD,O
94,Concord,NNP,B-ARTIST
94,Dawn,NNP,L-ARTIST
94,Raining,NNP,O
94,Blood,NN,O
95,The,DT,B-ARTIST
95,Weeknd,NNP,L-ARTIST
95, ,_SP,O
95,The,DT,O
95,Party,NNP,O
95,&,CC,O
95,The,NNP,O
95,After,NNP,O
95,Party,NNP,O
96,BOB,NNP,B-ARTIST
96,MARLEY,NNP,L-ARTIST
96, ,_SP,O
96,JAMMING,NNP,O
97, ,_SP,O
97,Elle,NNP,B-ARTIST
97,Varner,NNP,L-ARTIST
97, ,_SP,O
97,Refill,NNP,O
97,i,PRP,O
97,this,DT,O
97,songgg,NN,O
98,never,RB,O
98,too,RB,O
98,late,JJ,O
98,three,CD,B-ARTIST
98,days,NNS,I-ARTIST
98,grace,NN,L-ARTIST
99,yap,NNP,O
99,yap,NNP,O
99,richie,NNP,B-ARTIST
99,spice,NNP,L-ARTIST
99,u,NNP,O
99,just,RB,O
99,say,VBP,O
99,things,NNS,O
99,u,PRP,O
99,don,NNP,O
99,know,VBP,O
100,Blind,JJ,B-ARTIST
100,Melon,NNP,L-ARTIST
100,No,DT,O
100,Rain,NN,O
101,Avenged,VBN,B-ARTIST
101,Sevenfold,NNP,L-ARTIST
101, ,_SP,O
101,Almost,RB,O
101,Easy,JJ,O
102, ,_SP,O
102,Sportfreunde,NNP,B-ARTIST
102,Stiller,NNP,L-ARTIST
102,Ein,NNP,O
102,Kompliment,NNP,O
102,Unplugged,NNP,O
102,Radio,NNP,O
102,TEDDY,NNP,O
103,Friendly,JJ,B-ARTIST
103,Fires,NNS,L-ARTIST
103,Hawaiian,NNP,O
103,Air,NNP,O
104,Gary,NNP,B-ARTIST
104,Numan,NNP,L-ARTIST
104,Cars,NNS,O
105,Patrick,NNP,B-ARTIST
105,Wolf,NNP,L-ARTIST
105,Together,RB,O
106, ,_SP,O
106,Blue,JJ,U-ARTIST
106, ,_SP,O
106,All,DT,O
106,Rise,NN,O
107, ,_SP,O
107,Maria,NNP,B-ARTIST
107,Mena,NNP,L-ARTIST
107,Just,RB,O
107,Hold,VB,O
107,Me,PRP,O
107,BB,NNP,O
107,RADIO,NNP,O
107, ,_SP,O
107,In,IN,O
107,auf,NNP,O
107,1021,CD,O
108,Chris,NNP,B-ARTIST
108,Brown,NNP,L-ARTIST
108, ,_SP,O
108,No,DT,O
108,Bullshit,NNP,O
108,Oui,NNP,O
108,Ce,NNP,O
108,Soir,NNP,O
108,J'ai,NNP,O
108,Une,NNP,O
108,Envie,NNP,O
108,De,NNP,O
108,Sexe,NNP,O
109,Number,NN,O
109,One,CD,O
109,John,NNP,B-ARTIST
109,Legend,NNP,L-ARTIST
110,jadul,NNP,O
110,bgt,VBD,O
110,_,NNP,O
110, ,_SP,O
110,Mocca,NNP,U-ARTIST
110, ,_SP,O
110,I,PRP,O
110,Remember,VBP,O
111,Scissor,NN,B-ARTIST
111,Sisters,NNPS,L-ARTIST
111,I,PRP,O
111,Do,VBP,O
111,n't,RB,O
111,Feel,VB,O
111,Like,IN,O
111,Dancin,NNP,O
111,',POS,O
112,If,IN,O
112,I,PRP,O
112,Ruled,VBD,O
112,The,DT,O
112,World,NNP,O
112, ,_SP,O
112,Nas,NNP,U-ARTIST
113,Christina,NNP,B-ARTIST
113,Perri,NNP,L-ARTIST
113, ,_SP,O
113,A,DT,O
113,Thousand,CD,O
113,Years,NNS,O
114,trey,NNP,B-ARTIST
114,songz,VBP,L-ARTIST
114, ,_SP,O
114,on,IN,O
114,top,NN,O
115,Wham,NNP,U-ARTIST
115,Freedom,NNP,O
116, ,_SP,O
116,Katy,NNP,B-ARTIST
116,Perry,NNP,L-ARTIST
116,I,PRP,O
116,Kissed,VBD,O
116,A,DT,O
116,Girl,NN,O
117,Cleo,NNP,B-ARTIST
117,Brown,NNP,L-ARTIST
117,Boogie,NNP,O
117,Woogie,NNP,O
118,Kanye,NNP,U-ARTIST
118,West,NNP,O
118,Touch,NNP,O
118,The,DT,O
118,Sky,NN,O
119,lotus,NNP,O
119,flower,NNP,O
119,bomb,NNP,O
119,wale,NNP,U-ARTIST
120,Kyoto,NNP,O
120, ,_SP,O
120,Skrillex,NNP,O
120,feat,NN,O
120,Sirah,NNP,U-ARTIST
121, ,_SP,O
121,EMPIRE,NNP,B-ARTIST
121,OF,IN,I-ARTIST
121,THE,DT,I-ARTIST
121,SUN,NNP,L-ARTIST
121,We,PRP,O
121,are,VBP,O
121,the,DT,O
121,people,NNS,O
121,Radio,NNP,O
121,TEDDY,NNP,O
121, ,_SP,O
121,Makes,VBZ,O
121,fun,NN,O
121, ,_SP,O
121,makes,VBZ,O
121,clever,JJ,O
122,Michel,NNP,O
122,Tel,NNP,O
122, ,_SP,O
122,Eu,NNP,O
122,te,NNP,O
122,amo,NNP,O
122,e,NNP,O
122,open,JJ,O
122,bar,NN,O
123,Lmfao,NNP,O
123,Haddaway,NNP,U-ARTIST
123, ,_SP,O
123,What,WP,O
123,Is,VBZ,O
123,Love,NN,O
124,FIREWORK,NNP,O
124,katy,NNP,B-ARTIST
124,perry,NNP,L-ARTIST
125, ,_SP,O
125,Die,VB,O
125,Toten,NNP,O
125,Hosen,NNP,O
125,Tage,NNP,O
125,wie,NN,O
125,diese,NN,O
125,Radio,NNP,O
125,TEDDY,NNP,O
125, ,_SP,O
125,In,IN,O
125,auf,NNP,O
125,902,CD,O
126, ,_SP,O
126,ALOE,NNP,B-ARTIST
126,BLACC,NNP,L-ARTIST
126,I,PRP,O
126,need,VBP,O
126,a,DT,O
126,dollar,NN,O
126,Radio,NNP,O
126,TEDDY,NNP,O
126, ,_SP,O
126,In,IN,O
126,auf,NNP,O
126,902,CD,O
127,Maroon,NNP,B-ARTIST
127,5,CD,L-ARTIST
127, ,_SP,O
127,One,CD,O
127,More,JJR,O
127,Night,NNP,O
128, ,_SP,O
128,The,DT,B-ARTIST
128,Overtones,NNP,L-ARTIST
128,Gambling,NNP,O
128,Man,NNP,O
128,Radio,NNP,O
128,TEDDY,NNP,O
128, ,_SP,O
128,In,IN,O
128,auf,NNP,O
128,1029,CD,O
129,Beyonce,NN,U-ARTIST
129, ,_SP,O
129,If,IN,O
129,I,PRP,O
129,were,VBD,O
129,a,DT,O
129,boy,NN,O
130, ,_SP,O
130,Olly,NNP,B-ARTIST
130,Murs,NNPS,L-ARTIST
130,Heart,NNP,O
130,Skips,NNPS,O
130,A,DT,O
130,Beat,NNP,O
130,Radio,NNP,O
130,TEDDY,NNP,O
130, ,_SP,O
130,In,IN,O
130,auf,NNP,O
130,1029,CD,O
131, ,_SP,O
131,Jessie,NNP,B-ARTIST
131,J,NNP,L-ARTIST
131, ,_SP,O
131,Rainbow,NNP,O
132,Pandora,NNP,O
132,knows,VBZ,O
132,how,WRB,O
132,to,TO,O
132,hit,VB,O
132,where,WRB,O
132,it,PRP,O
132,hurts,VBZ,O
132,What,WP,O
132,hurts,VBZ,O
132,the,DT,O
132,most,RBS,O
132, ,_SP,O
132,Rascal,NNP,B-ARTIST
132,Flatts,NNP,L-ARTIST
133,Jnsi,NNP,O
133, ,_SP,O
133,Hengils,NNP,O
133,on,IN,O
134,Drake,NN,U-ARTIST
134,Doing,VBG,O
134,It,PRP,O
134,Wrong,JJ,O
135,Jump,VB,O
135,Then,RB,O
135,Fall,VB,O
135,Taylor,NNP,B-ARTIST
135,Swift,NNP,L-ARTIST
136, ,_SP,O
136,Inna,NNP,U-ARTIST
136,Sun,NNP,O
136,Is,VBZ,O
136,Up,RP,O
136,plays,VBZ,O
136,the,DT,O
137,what,WP,O
137,would,MD,O
137,you,PRP,O
137,do,VB,O
137,if,IN,O
137,you,PRP,O
137,found,VBD,O
137,out,RP,O
137,from,IN,O
137,your,PRP$,O
137,friends,NNS,O
137,if,IN,O
137,i,PRP,O
137,was,VBD,O
137,dead,JJ,O
137,Efflictim,NNP,O
137, ,_SP,O
137,WZRD,NNS,U-ARTIST
138,Come,VB,O
138,As,IN,O
138,You,PRP,O
138,Are,VBP,O
138, ,_SP,O
138,Nirvana,NNP,U-ARTIST
139,Love,NN,O
139,Is,VBZ,O
139,A,DT,O
139,Battlefield,NNP,O
139, ,_SP,O
139,Pat,NNP,B-ARTIST
139,Benatar,NNP,L-ARTIST
139,X,NNP,O
140,Funeral,NNP,O
140,For,IN,O
140,My,PRP$,O
140,Future,NNP,O
140,Children,NNS,O
140,by,IN,O
140,Anna,NNP,B-ARTIST
140,Von,NNP,I-ARTIST
140,Hausswolff,NNP,L-ARTIST
140,on,IN,O
141,climax,VB,O
141,usher,JJ,U-ARTIST
141,i,PRP,O
141,m,VBP,O
141,gon,VBG,O
141,na,TO,O
141,make,VB,O
141,this,DT,O
141,into,IN,O
141,a,DT,O
141,dubstep,NN,O
141,song,NN,O
142,Seorita,NNP,O
142, ,_SP,O
142,Justin,NNP,B-ARTIST
142,Timberlake,NNP,L-ARTIST
143,Geraldine,NNP,B-ARTIST
143,McQueen,NNP,L-ARTIST
143,Once,RB,O
143,Upon,IN,O
143,A,DT,O
143,Christmas,NNP,O
143,Song,NNP,O
144, ,_SP,O
144,Seeed,VB,U-ARTIST
144,feat,NN,O
144,Cee,NNP,O
144,Lo,NNP,O
144,Green,NNP,O
144,Aufstehn,NNP,O
144,BB,NNP,O
144,RADIO,NNP,O
144, ,_SP,O
144,In,IN,O
144,auf,NNP,O
144,1037,CD,O
145,Rock,NNP,O
145,Your,PRP$,O
145,Body,NN,O
145, ,_SP,O
145,Justin,NNP,B-ARTIST
145,Timberlake,NNP,L-ARTIST
145,AMOooo,NNP,O
146,THE,DT,B-ARTIST
146,GAZETTE,NNP,L-ARTIST
146,RED,NNP,O
147, ,_SP,O
147,What,WP,O
147,You,PRP,O
147,Wo,MD,O
147,n't,RB,O
147,Do,VB,O
147,For,IN,O
147,Love,NNP,O
147, ,_SP,O
147,Bobby,NNP,B-ARTIST
147,Caldwell,NNP,L-ARTIST
148,quoi,NNP,O
148,qu'il,NNP,O
148,arrive,VB,O
148, ,_SP,O
148,Sultan,NNP,U-ARTIST
149,I,PRP,O
149,Am,VBP,O
149,The,DT,O
149,Resurrection,NN,O
149,by,IN,O
149,The,DT,B-ARTIST
149,Stone,NNP,I-ARTIST
149,Roses,NNPS,L-ARTIST
149,on,IN,O
150, ,_SP,O
150,Madcon,NNP,U-ARTIST
150,Glow,NNP,O
150,plays,VBZ,O
150,the,DT,O
151,The,DT,O
151,Real,JJ,B-ARTIST
